image_path,label,class_name,fold
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca91.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2370.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca688.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1337.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1266.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1643.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2054.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca2672.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4757.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3844.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca26.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca87.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1147.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3681.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca577.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3447.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1727.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1749.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca3099.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca230.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4494.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1332.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca1011.jpeg,0,colon_aca,4
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca197.jpeg,0,colon_aca,5
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4947.jpeg,0,colon_aca,3
E:\lung_colon_image_set\colon_image_sets\colon_aca\colonca4510.jpeg,0,colon_aca,4
